speech_id,speech,speaker_id,last_name_x,first_name_x,chamber_x,state_x,gender_x,party,district,non_voting,chamber_y,date,number_within_file,speaker,first_name_y,last_name_y,state_y,gender_y,line_start,line_end,file,char_count,word_count,congress,year,cleaned_stems,stem_count,procedural_proportion,climate_proportion
1110068310,That means that temperature is the dominant variable. and that it drives the dependent variable. which is CO2. Temperature goes up and then CO2 goes up.,111118540.0,BARTON,JOE,H,TX,M,R,6.0,voting,H,2009-12-08,456,Mr. BARTON of Texas,Unknown,BARTON,Texas,M,19440,19444,12082009.txt,152,26,111,2009,mean temperatur domin variabl drive depend variabl co temperatur co,12,0.125,0.5714285714285714
1100171152,Without from heat waves. floods. and droughts. objection. it is so ordered. This heted fyoods. a drughts,,,,,,,,,,S,2008-06-05,465,The PRESIDING OFFICER,Unknown,Unknown,Unknown,Special,25200,25201,06052008.txt,104,17,110,2008,without heat wave flood drought hete fyood drught,10,0.2,0.5
1100154679,Mr. Speaker. I move to suspend the rules and agree to the resolution (H. Res. 1117) declaring the support of the House of Representatives for the goals and ideals of Earth Day and for developing the scientific and technological capabilities to achieve those goals.,110120490.0,MCNERNEY,JERRY,H,CA,M,D,11.0,voting,H,2008-04-22,498,Mr. McNERNEY,Unknown,MCNERNEY,Unknown,M,23666,23673,04222008.txt,264,44,110,2008,move agre repres goal ideal earth day develop scientif technolog capabl achiev goal,23,0.45454545454545453,0.5
1100182095,Mr. Speaker. I move to suspend the rules and pass the bill to establish an interagency committee to develop an ocean acidification research and monitoring plan and to establish an ocean acidification program within the National Oceanic and Atmospheric Administration. as amended.,110115310.0,BAIRD,BRIAN,H,WA,M,D,3.0,voting,H,2008-07-09,470,Mr. BAIRD,Unknown,BAIRD,Unknown,M,22182,22190,07092008.txt,279,42,110,2008,move establish interag develop ocean acidif research monitor plan establish ocean acidif program nation ocean atmospher,26,0.45454545454545453,0.5
1110043886,Mr. President. if I could proceed further? In point of fact. it is limited. and it has to be repaid at the end of 5 years if it is not renewed.,111117261.0,KERRY,JOHN,S,MA,M,D,,voting,S,2009-05-21,599,Mr. KERRY,Unknown,KERRY,Unknown,M,36717,36720,05212009.txt,143,31,111,2009,could point fact limit repaid renew,11,0.45454545454545453,0.5
1100161297,Mr. Speaker. pursuant to House Resolution 1175. I call up the bill moving the United States toward greater energy independence and security. developing innovative new technologies. reducing carbon emissions. creating green jobs. protecting consumers. increasing clean renewable energy production. and modernizing our energy infrastructure. with the Senate amendments thereto. and ask for its immediate consideration in the House.,110116800.0,FRANK,BARNEY,H,MA,M,D,4.0,voting,H,2008-05-08,407,Mr. FRANK of Massachusetts,Unknown,FRANK,Massachusetts,M,17941,17953,05082008.txt,429,58,110,2008,call move toward greater energi independ develop new technolog carbon emiss green job consum increas clean renew energi product modern energi infrastructur consider,42,0.46153846153846156,0.47619047619047616
1100169382,According to the earmark list I have. $191 billion goes to worker training. $171 billion goes to mass transit projects. $237 billion goes to natural resource and wildlife adaptation. $288 billion goes to Federal programs of natural resources. $342 billion goes to international climate change. $300 billion goes to agriculture and forestry. and $368 billion goes to reforestation. Under these numbers. only $136 billion out of the trillions of dollars goes to energy efficiency block grants. and that is for local governments.,110114171.0,GREGG,JUDD,S,NH,M,R,,voting,S,2008-06-03,591,Mr. GREGG,Unknown,GREGG,Unknown,M,23560,23574,06032008.txt,526,82,110,2008,earmark billion worker train billion mass transit project billion natur wildlif billion program natur billion intern climat billion agricultur forestri billion reforest billion trillion energi effici local,47,0.3870967741935484,0.47368421052631576
1110020818,Developing effective response to storm water is the purpose of this amendment. It incorporates green infrastructure technologies and approaches into developing municipal stormwater systems. I urge support of the amendment and yield back the balance of my time.,111115920.0,OBERSTAR,JAMES,H,MN,M,D,8.0,voting,H,2009-03-12,418,Mr. OBERSTAR,Unknown,OBERSTAR,Unknown,M,23086,23104,03122009.txt,260,38,111,2009,develop effect respons storm water purpos incorpor green infrastructur technolog approach develop municip stormwat back balanc,23,0.2857142857142857,0.4666666666666667
1110059178,goal is to direct the Department of Energy to give the same consideration to demonstrating vehicles using fossil fuels that can achieve 70 miles per gallon or more as they are to alternatively fueled vehicles and hybrids. I support that.,111120890.0,POSEY,BILL,H,FL,M,R,15.0,voting,H,2009-09-16,215,Mr. POSEYS,Unknown,POSEYS,Unknown,M,7925,7931,09162009.txt,237,40,111,2009,goal direct depart energi give consider demonstr vehicl fossil fuel achiev mile per gallon fuel vehicl hybrid,20,0.16666666666666666,0.4666666666666667
1100197804,2 minutes. I would point out. Mr. Speaker. that the carbon footprint of solar is tremendously higher than that of wind. It is exponentially higher than the carbon footprint of nuclear. So while we are trying to clean up the environment. we are dumping now solar carbon into it. Mr. Speaker. I yield 2 minutes to the gentleman from Louisiana,110121210.0,SCALISE,STEVE,H,LA,M,R,1.0,voting,H,2008-09-16,669,Mr. SCALISE,Unknown,SCALISE,Unknown,M,50673,50682,09162008.txt,340,60,110,2008,point carbon footprint solar tremend higher wind exponenti higher carbon footprint nuclear tri clean environ dump solar carbon,28,0.35,0.46153846153846156
1100149918,to the bill H.R. 3221. moving the United States toward greater energy independence and security. developing innovative new technologies. reducing carbon emissions. creating green jobs. protecting consumers. increasing clean renewable energy production. and modernizing our energy infrastructure. and to amend the Internal Revenue Code of 1986 to provide tax incentives for the production of renewable energy and energy conservation. which was ordered to lie on the table. as follows: In lieu of the matter proposed to be inserted. insert the following:,110114751.0,ENSIGN,JOHN,S,NV,M,R,,voting,S,2008-04-08,226,Mr. ENSIGN,Unknown,ENSIGN,Unknown,M,13572,13587,04082008.txt,552,81,110,2008,hr move toward greater energi independ develop new technolog carbon emiss green job consum increas clean renew energi product modern energi infrastructur intern provid incent product renew energi energi conserv propos insert insert,52,0.4090909090909091,0.46153846153846156
1110073164,"AIR FORCE"" and available for Advanced Weapons Technology (PE# 0603605F). up to $5.000.000 may be available to carry out the evaluations and analyses required by subsection (b).",,,,,,,,,,H,2009-12-16,167,MENT. TEST AND EVALUATION,TEST AND,EVALUATION,Unknown,Unknown,11952,11956,12162009.txt,176,27,111,2009,air forc avail advanc weapon technolog pe avail evalu analys,16,0.4,0.4444444444444444
1110068290,And are these two gentlemen two of the leading proponents in the IPCC that climate is growing warmer because of manmade CO2 emissions?,111118540.0,BARTON,JOE,H,TX,M,R,6.0,voting,H,2009-12-08,436,Mr. BARTON of Texas,Unknown,BARTON,Texas,M,19207,19211,12082009.txt,134,23,111,2009,two two lead ipcc climat grow warmer manmad co emiss,12,0.18181818181818182,0.4444444444444444
1100190702,Mr. Speaker. I move to suspend the rules and agree to the resolution (H. Res. 1143) supporting the goals and ideals of the Apple Crunch and the Nations domestic apple industry.,110119140.0,DAVIS,DANNY,H,IL,M,D,7.0,voting,H,2008-07-29,417,Mr. DAVIS of Illinois,Unknown,DAVIS,Illinois,M,46534,46539,07292008.txt,176,31,110,2008,move agre goal ideal appl crunch nation domest appl industri,18,0.47058823529411764,0.4444444444444444
1110038304,So you mean to say. Congressman. that rating agencies would say that this is a AAA product. when in fact there were a lot of problms with the product. Is that right?,111115560.0,ELLSWORTH,BRAD,H,IN,M,D,8.0,voting,H,2009-05-06,753,Mr. ELLSWORTH,Unknown,ELLSWORTH,Unknown,M,50260,50276,05062009.txt,165,32,111,2009,mean congressman rate aaa product fact problm product,14,0.4166666666666667,0.42857142857142855
1100200226,I thank the gentleman for the point that he raises. I believe that the agreement and the committee report language effectively addresses that concern.,110117160.0,SUTTON,BETTY,H,OH,F,D,13.0,voting,H,2008-09-22,379,Ms. SUTTON,Unknown,SUTTON,Unknown,F,22634,22638,09222008.txt,150,24,110,2008,point rais believ report languag effect concern,12,0.4166666666666667,0.42857142857142855
1100177337,And part of that alternative fuel debate is coaltoliquid technologies. And this is not just keeping energy costs down. This is a job. This is a job issue.,110121370.0,SHIMKUS,JOHN,H,IL,M,R,19.0,voting,H,2008-06-20,321,Mr. SHIMKUS,Unknown,SHIMKUS,Unknown,M,20069,20073,06202008.txt,154,28,110,2008,part fuel coaltoliquid technolog energi job job issu,12,0.36363636363636365,0.42857142857142855
